epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2270.47,0.07776,1.09024,0.89002,0.71909,0.75036,0.81215,0.81207,0.05505,0.62924,1.0453,0.00381899,0.00381899,0.00381899
60,2308.73,0.07626,1.08144,0.88701,0.71711,0.75292,0.81274,0.81266,0.05352,0.62677,1.04466,0.00366899,0.00366899,0.00366899
61,2347.35,0.07585,1.07782,0.8885,0.71332,0.75958,0.81311,0.81301,0.05139,0.62519,1.04422,0.00352037,0.00352037,0.00352037
62,2386.32,0.07592,1.0764,0.88748,0.71209,0.76001,0.81313,0.81302,0.05004,0.62454,1.04395,0.00337325,0.00337325,0.00337325
63,2424.48,0.07387,1.07912,0.8871,0.71134,0.76439,0.8138,0.81369,0.04894,0.62183,1.04376,0.00322778,0.00322778,0.00322778
64,2463.87,0.07304,1.07294,0.88737,0.71355,0.76232,0.81399,0.81388,0.04843,0.62122,1.04368,0.00308412,0.00308412,0.00308412
65,2503.58,0.07244,1.06671,0.88706,0.71654,0.7593,0.81419,0.81409,0.04789,0.62086,1.04376,0.00294239,0.00294239,0.00294239
66,2542.32,0.07218,1.06121,0.88762,0.72203,0.75389,0.81436,0.81427,0.0478,0.62175,1.04385,0.00280275,0.00280275,0.00280275
67,2580.56,0.07101,1.06189,0.88842,0.72324,0.75304,0.8143,0.81419,0.04798,0.62149,1.04383,0.00266532,0.00266532,0.00266532
68,2619.42,0.0705,1.06402,0.8887,0.71634,0.76013,0.81448,0.81436,0.04804,0.61964,1.04375,0.00253024,0.00253024,0.00253024
69,2658.35,0.06974,1.05599,0.8867,0.71597,0.76156,0.81457,0.81445,0.04771,0.61909,1.04374,0.00239766,0.00239766,0.00239766
70,2697.15,0.06864,1.05382,0.88898,0.71968,0.75937,0.81459,0.81448,0.04704,0.6189,1.04373,0.00226769,0.00226769,0.00226769
71,2735.86,0.06758,1.04804,0.88635,0.72035,0.75712,0.8146,0.81449,0.04675,0.61801,1.04365,0.00214046,0.00214046,0.00214046
72,2775.03,0.0665,1.04312,0.88743,0.71834,0.76005,0.81461,0.8145,0.04696,0.6173,1.04365,0.00201611,0.00201611,0.00201611
73,2813.07,0.06595,1.04219,0.88673,0.71943,0.75977,0.81485,0.81473,0.04601,0.61637,1.04356,0.00189475,0.00189475,0.00189475
74,2852.34,0.06614,1.03485,0.88499,0.71936,0.75913,0.81529,0.81517,0.04525,0.61494,1.04351,0.00177651,0.00177651,0.00177651
75,2891.03,0.06656,1.0279,0.88637,0.71973,0.75933,0.81562,0.8155,0.04578,0.61415,1.04357,0.00166149,0.00166149,0.00166149
76,2930.05,0.06597,1.02736,0.88607,0.72064,0.75846,0.81588,0.81577,0.04637,0.61407,1.04361,0.00154982,0.00154982,0.00154982
77,2968.48,0.06512,1.02014,0.88603,0.72194,0.75802,0.81605,0.81594,0.04729,0.61399,1.04367,0.00144161,0.00144161,0.00144161
78,3006.86,0.06423,1.00867,0.88659,0.72694,0.75332,0.81605,0.81595,0.04757,0.6138,1.04368,0.00133695,0.00133695,0.00133695
79,3045.52,0.06375,1.01581,0.88605,0.72435,0.75592,0.81612,0.81602,0.04782,0.6131,1.04366,0.00123596,0.00123596,0.00123596
80,3083.91,0.0632,1.01386,0.88512,0.72487,0.75538,0.81636,0.81625,0.04755,0.61245,1.04363,0.00113873,0.00113873,0.00113873
81,3122.06,inf,1.00434,0.88632,0.725,0.75508,0.81664,0.81654,0.04761,0.61214,1.04365,0.00104537,0.00104537,0.00104537
82,3158.86,0.06194,1.00487,0.8865,0.72398,0.7569,0.81671,0.81664,0.04748,0.61181,1.04366,0.000955951,0.000955951,0.000955951
83,3195.69,0.06159,1.00178,0.88686,0.70981,0.76999,0.81685,0.81678,0.0475,0.61127,1.04365,0.000870577,0.000870577,0.000870577
84,3234.25,0.06088,1.00314,0.88779,0.71226,0.76591,0.81701,0.81693,0.04726,0.61051,1.04362,0.000789327,0.000789327,0.000789327
85,3272.19,inf,1.00293,0.88521,0.7132,0.76591,0.81723,0.81715,0.0471,0.61028,1.04364,0.000712282,0.000712282,0.000712282
86,3310.94,0.05993,0.99865,0.88488,0.71211,0.76886,0.81737,0.8173,0.047,0.61,1.04365,0.000639518,0.000639518,0.000639518
87,3347.6,0.05963,0.99412,0.88522,0.7115,0.76991,0.81755,0.81748,0.04702,0.6095,1.04366,0.000571106,0.000571106,0.000571106
88,3384.88,0.05927,0.98777,0.88556,0.70992,0.77176,0.81784,0.81777,0.04705,0.60914,1.04366,0.000507115,0.000507115,0.000507115
89,3421.47,0.05893,0.98616,0.88573,0.71107,0.77006,0.81803,0.81797,0.04703,0.60871,1.04366,0.000447606,0.000447606,0.000447606
90,3457.98,0.0588,0.9846,0.88538,0.71116,0.77034,0.81832,0.81827,0.04702,0.60832,1.04367,0.00039264,0.00039264,0.00039264
91,3495.19,0.04871,0.52023,0.90169,0.71788,0.76266,0.8184,0.81833,0.04735,0.60828,1.04373,0.00034227,0.00034227,0.00034227
92,3532.11,0.04284,0.49139,0.90044,0.7173,0.76306,0.81862,0.81854,0.04738,0.60814,1.04375,0.000296546,0.000296546,0.000296546
93,3570.12,0.04312,0.47607,0.8998,0.71765,0.76364,0.8187,0.81862,0.04737,0.60801,1.04377,0.000255513,0.000255513,0.000255513
94,3607.16,0.0421,0.47642,0.89732,0.71753,0.76682,0.81877,0.81869,0.04728,0.60794,1.04381,0.000219212,0.000219212,0.000219212
95,3646.61,0.04124,0.47577,0.89913,0.71738,0.76683,0.81891,0.81883,0.04728,0.60776,1.04385,0.000187678,0.000187678,0.000187678
96,3684.81,0.04175,0.46307,0.89761,0.71807,0.76741,0.81911,0.81904,0.04739,0.60764,1.0439,0.000160943,0.000160943,0.000160943
97,3723.27,0.04132,0.46122,0.89841,0.71865,0.7678,0.81944,0.81936,0.0475,0.60762,1.04394,0.000139032,0.000139032,0.000139032
98,3761.65,0.0408,0.4614,0.89715,0.71946,0.76785,0.81957,0.81949,0.0477,0.60769,1.04399,0.000121968,0.000121968,0.000121968
99,3798.95,0.04098,0.45797,0.90051,0.72038,0.76661,0.81975,0.81967,0.04774,0.60769,1.04402,0.000109768,0.000109768,0.000109768
100,3835.41,0.0405,0.45643,0.89768,0.72038,0.76716,0.81985,0.81977,0.04773,0.60789,1.04405,0.000102443,0.000102443,0.000102443
