epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,5464.56,0.06284,0.96915,0.88718,0.76163,0.75955,0.82027,0.82023,0.02925,0.75802,1.04146,0.00248577,0.00248577,0.00248577
103,5517.05,0.06273,0.95985,0.88621,0.75955,0.76051,0.81995,0.81992,0.02978,0.76132,1.04149,0.00239766,0.00239766,0.00239766
104,5569.16,0.06158,0.96406,0.88638,0.75819,0.76097,0.81999,0.81999,0.02978,0.76026,1.04147,0.00231071,0.00231071,0.00231071
105,5621.93,0.06141,0.9624,0.88523,0.75935,0.76057,0.82038,0.82038,0.02986,0.75296,1.04147,0.00222497,0.00222497,0.00222497
106,5675.11,0.06086,0.95209,0.88489,0.76188,0.75866,0.82048,0.82043,0.02974,0.74781,1.04145,0.00214046,0.00214046,0.00214046
107,5729.31,0.06038,0.95703,0.88527,0.76315,0.75796,0.82057,0.82054,0.03004,0.74793,1.04146,0.00205723,0.00205723,0.00205723
108,5780.75,0.06001,0.94904,0.88401,0.76338,0.76018,0.82061,0.82053,0.02995,0.74837,1.04144,0.00197532,0.00197532,0.00197532
109,5834.71,0.05977,0.94228,0.88426,0.76257,0.76059,0.82032,0.82023,0.02984,0.75474,1.04143,0.00189475,0.00189475,0.00189475
110,5887.78,0.059,0.94438,0.88608,0.76325,0.75916,0.82001,0.81992,0.03036,0.75907,1.04142,0.00181557,0.00181557,0.00181557
111,5940.21,0.05833,0.94046,0.88645,0.76472,0.75907,0.81967,0.81958,0.03067,0.76503,1.04142,0.0017378,0.0017378,0.0017378
112,5992.01,0.05924,0.94146,0.88513,0.76579,0.7588,0.81927,0.81919,0.0306,0.77,1.04143,0.00166149,0.00166149,0.00166149
113,6045,0.05816,0.93213,0.88668,0.76525,0.75793,0.81886,0.81878,0.03073,0.77688,1.04144,0.00158667,0.00158667,0.00158667
114,6096.65,inf,0.92843,0.8859,0.76492,0.75822,0.81828,0.81821,0.03118,0.78846,1.04145,0.00151336,0.00151336,0.00151336
115,6149.21,inf,0.92706,0.88436,0.76275,0.7592,0.8176,0.81751,0.03168,0.80284,1.04147,0.00144161,0.00144161,0.00144161
116,6203.82,0.05748,0.92626,0.88475,0.76251,0.7583,0.81722,0.81713,0.03216,0.81083,1.04145,0.00137143,0.00137143,0.00137143
117,6257.18,0.05661,0.91918,0.88382,0.76336,0.75768,0.81669,0.8166,0.03265,0.81927,1.04145,0.00130287,0.00130287,0.00130287
118,6308.83,0.05624,0.91937,0.88385,0.76115,0.75909,0.81617,0.81608,0.03313,0.82748,1.04144,0.00123596,0.00123596,0.00123596
119,6361.87,0.0565,0.91922,0.88508,0.76032,0.75985,0.81564,0.81556,0.03328,0.8371,1.04145,0.00117072,0.00117072,0.00117072
